Junctions	sum	species
CGACAFTENST00000536386JUNC00426	176	dog
CGACAFTENST00000536386JUNC00427	249	dog
CGACAFTENST00000536386JUNC00428	108	dog
CGACAFTENST00000536386JUNC00429	105	dog
CGACAFTENST00000545552JUNC00430	123	dog
CGACAFTENST00000545552JUNC00431	154	dog
CGACAFTENST00000545552JUNC00432	60	dog
CGACAFTENSMUST00000111758JUNC00433	964	dog
CGACAFTENSMUST00000203187JUNC00434	480	dog
CGACAFTENST00000512091JUNC00437	316	dog
CGACAFTENST00000512091JUNC00438	112	dog
CGACAFTENST00000512091JUNC00439	134	dog
CGACAFTENST00000512091JUNC00440	145	dog
CGACAFTENST00000512091JUNC00441	124	dog
CGACAFTENSMUST00000072521JUNC00442	22	dog
CGACAFTENST00000586534JUNC00443	1807	dog
CGACAFTENST00000530767JUNC00445	11	dog
CGACAFTENST00000527759JUNC00446	57	dog
CGACAFTENST00000392348JUNC00447	718	dog
CGACAFTENST00000370198JUNC00448	248	dog
CGACAFTENST00000370198JUNC00449	1983	dog
CGACAFTENST00000426335JUNC00450	1	dog
CGACAFTENSMUST00000028691JUNC00451	669	dog
CGACAFTENSMUST00000028691JUNC00452	682	dog
CGACAFTENST00000368912JUNC00453	3	dog
CGACAFTENST00000368914JUNC00454	608	dog
CGACAFTENST00000369697JUNC00455	194	dog
CGACAFTENST00000391851JUNC00456	6154	dog
CGACAFTENST00000438313JUNC00459	620	dog
CGACAFTENST00000510624JUNC00460	195	dog
CGACAFTENST00000379951JUNC00461	424	dog
CGACAFTENST00000357167JUNC00462	2	dog
CGACAFTENST00000361452JUNC00463	5	dog
CGACAFTENST00000218008JUNC00467	21	dog
CGACAFTENST00000410079JUNC00468	44	dog
CGACAFTENST00000508530JUNC00469	424	dog
CGACAFTENST00000252485JUNC00470	2589	dog
CGACAFTENST00000544474JUNC00471	501	dog
CGACAFTENST00000393758JUNC00472	40	dog
CGACAFTENST00000454580JUNC00473	31	dog
